iter	Passed	Remaining
0	4	445
1	7	384
2	10	341
3	13	325
4	15	303
5	20	319
6	22	301
7	24	287
8	27	275
9	29	266
10	31	258
11	35	262
12	37	253
13	40	247
14	42	241
15	45	238
16	47	232
17	50	228
18	52	222
19	54	218
20	56	214
21	59	210
22	61	206
23	64	205
24	67	202
25	69	198
26	72	194
27	74	191
28	76	188
29	80	186
30	82	183
31	84	180
32	87	176
33	89	173
34	91	169
35	93	166
36	96	164
37	99	162
38	101	159
39	103	155
40	106	152
41	108	149
42	111	147
43	113	144
44	115	141
45	117	138
46	119	134
47	121	131
48	123	128
49	126	126
50	128	123
51	130	120
52	133	118
53	135	115
54	137	112
55	139	109
56	142	107
57	144	104
58	146	101
59	147	98
60	149	95
61	151	93
62	153	90
63	155	87
64	158	85
65	160	82
66	162	80
67	165	77
68	166	75
69	168	72
70	171	70
71	174	67
72	177	65
73	179	62
74	181	60
75	183	57
76	185	55
77	188	53
78	190	50
79	193	48
80	195	45
81	197	43
82	199	40
83	201	38
84	204	36
85	206	33
86	207	31
87	209	28
88	211	26
89	213	23
90	215	21
91	217	18
92	219	16
93	221	14
94	223	11
95	225	9
96	227	7
97	229	4
98	230	2
99	233	0
